frame,x,y,ball_type,delta_t
,,,2,-20.424554109573364
,,,2,45.44714570045471
,,,3,10.622597932815552
,,,3,13.16117787361145
,,,2,11.245274782180786
,,,2,-2.133326768875122
,,,2,12.29666805267334
,,,2,-2.029233694076538
,,,2,-1.0139260292053223
,,,2,-2.5433826446533203
,,,3,-14.388834953308105
,,,3,6.221309423446655
,,,3,-38.70093512535095
,,,3,-19.630191564559937
,,,3,-2.0106430053710938
,,,3,-1.9833705425262451
,,,3,5.392359972000122
,,,3,-1.95082688331604
,,,5,-0.5249941349029541
,,,2,-2.061405897140503
,,,2,-2.2003774642944336
,,,2,-1.9665260314941406
,,,2,-1.971468448638916
,,,2,-1.9029181003570557
,,,2,-1.935379981994629
,,,2,-2.1489405632019043
,,,2,-2.0276317596435547
,,,2,-2.3046815395355225
,,,2,-1.9677810668945312
,,,2,-2.108289957046509
,,,2,-2.051851511001587
,,,2,-1.9333770275115967
,,,2,-2.1247949600219727
,,,1,-4.156324625015259
,,,51,-4.102356195449829
,,,51,-4.0860466957092285
,,,51,-4.074878931045532
,,,51,-4.152756452560425
,,,51,-4.19985032081604
,,,51,-4.253609657287598
,,,51,-4.201214075088501
,,,51,-4.227308034896851
,,,53,-1.200545072555542
,,,54,-0.9394280910491943
,,,51,-4.1330811977386475
,,,51,-4.198723554611206
,,,51,-4.028711795806885
,,,51,-3.8737027645111084
,,,51,-4.090446949005127
